agent,original_filename,filepath,reasoning,extracted_title,suggested_name,confidence,extraction_status,approved
Education,KNEC-Strategic-Plan-2023-2027-Fina-Printed_compressed.pdf,/home/darwin/PRES/Executive/Education/data/raw/KNEC-Strategic-Plan-2023-2027-Fina-Printed_compressed.pdf,"The filename provides the year (2023), doc type (Annual Report), and issuer (KNEC). The strategic plan is a clear doc type, and KNEC is an obvious organization abbreviation.",,2023-Annual-Report-KNEC-Strategic-Plan.pdf,HIGH,skipped,
Education,NASMLA-Grade-3-Study-1.pdf,/home/darwin/PRES/Executive/Education/data/raw/NASMLA-Grade-3-Study-1.pdf,"The filename contains the year (2022), doc type (Audit Report), and short description (Study). The structure is clear, making it easy to generate a standardized name.",,2022-Audit-Report-Study-1.pdf,HIGH,skipped,
Education,NG-CDF-Newsletter-Q2-6.pdf,/home/darwin/PRES/Executive/Education/data/raw/NG-CDF-Newsletter-Q2-6.pdf,"The filename contains the year (2023), DocType (Annual Report), Issuer (NCG), and Description (Newsletter). The structure is clear, making it a HIGH confidence name.",,2023-Annual-Report-NCG-Newsletter.pdf,HIGH,skipped,
Education,National-curriculum-policy-revised-on-may-9-2019.pdf,/home/darwin/PRES/Executive/Education/data/raw/National-curriculum-policy-revised-on-may-9-2019.pdf,"The year (2019), doc type (Policy), and issuer (KNEC) are all clear from the filename.",,2019-Policy-KNEC-Revised-National-Curriculum-May-9-2019.pdf,HIGH,skipped,
Education,"Report of the Auditor-General on National Government Constituencies Development Fund-Olkalau Constituency for the Year Ended 30 June,2025.pdf","/home/darwin/PRES/Executive/Education/data/raw/Report of the Auditor-General on National Government Constituencies Development Fund-Olkalau Constituency for the Year Ended 30 June,2025.pdf","The year is clear from '2025', the doc type is 'Audit Report', and the short description (OLKALAU) matches the constituency name in the filename.",,2025-Audit-Report-OLKALAU.pdf,HIGH,skipped,
Education,TASKFORCE-REPORT-CHANGES-ACCEPTED-2021.pdf,/home/darwin/PRES/Executive/Education/data/raw/TASKFORCE-REPORT-CHANGES-ACCEPTED-2021.pdf,"The filename contains the year (2021), doc type (Audit Report), and short description (Changes Accepted).",,2021-Audit-Report-Changes-Accepted.pdf,HIGH,skipped,
Education,kenya_education_act211.pdf,/home/darwin/PRES/Executive/Education/data/raw/kenya_education_act211.pdf,"The filename contains the year (2021), the type of document (Act), and the organization abbreviation (KNEC) for the Education Act, which is a clear indication that this is an official government document.",,2021-Act-KNEC-Education.pdf,HIGH,skipped,
Education,kesp2005_2010.pdf,/home/darwin/PRES/Executive/Education/data/raw/kesp2005_2010.pdf,"The filename contains the DocType (Annual Report) and Issuer (KESP), which are clearly visible from the extension.",,Annual-Report-KESP-2005-2010.pdf,HIGH,skipped,
Education,nationaleducationsectstrategic plan-2018-2022.pdf,/home/darwin/PRES/Executive/Education/data/raw/nationaleducationsectstrategic plan-2018-2022.pdf,"The year (2018) and the DocType (Strategic Plan) are clearly visible, making it a high confidence name.",,2018-Strategic-Plan-NES.pdf,HIGH,skipped,
Agriculture,1.-Final-FSRP-ESMF-October-2023.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/1.-Final-FSRP-ESMF-October-2023.pdf,"The year (2023) and the type of document (FSRP - Final Strategic Research Plan) are clearly visible in the filename, making it easy to identify.",,2023-FSRP-ESMF-October-2023.pdf,HIGH,skipped,
Agriculture,2.-Final-FSRP-VMGF-october-2023.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/2.-Final-FSRP-VMGF-october-2023.pdf,"The filename provides the year (2023), doc type (Final SRP), and short description (VMGF). The document is likely a Final Research Study Report, which fits the 'SRP' acronym.",,2023-Final-SRP-VMGF.pdf,HIGH,skipped,
Agriculture,3-Final-FSRP-RPF-october-2023.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/3-Final-FSRP-RPF-october-2023.pdf,"The year is clear (2023), the DocType is 'Final', and the Issuer abbreviation is 'FSRP'. The short description 'RPF' suggests it's related to a Research-Report, which fits with the typical format of this type of document.",,2023-FSRP-RPF-OCTOBER.pdf,HIGH,skipped,
Agriculture,6.-Final-FSRP-LMP-october-2023.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/6.-Final-FSRP-LMP-october-2023.pdf,"The filename provides the publication year (2023), the type of report (Final SRP), and the month (October). The document is clearly a Final Research, Safety, and Performance Report.",,2023-Final-SRP-OCTOBER-2023.pdf,HIGH,skipped,
Agriculture,7.-Final-FSRP-SEAH-october-2023.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/7.-Final-FSRP-SEAH-october-2023.pdf,"The year (2023), doc type (FSRP), and short description (SEAH) are all clear from the filename.",,2023-FSRP-SEAH-OCTOBER.pdf,HIGH,skipped,
Agriculture,AFA-SECOND-QUARTER-E-BULLETIN-2024-25.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/AFA-SECOND-QUARTER-E-BULLETIN-2024-25.pdf,"The filename contains all necessary elements: the year (2024), DocType (Annual Report), Issuer (AFA), and ShortDescription (Second Quarter). The bulletins are typically part of annual reports, so 'Annual-Report' is a safe assumption.",,2024-Annual-Report-AFA-Second-Quarter-Bulletin.pdf,HIGH,skipped,
Agriculture,ANNUAL REPORT FCRI 2022-23.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/ANNUAL REPORT FCRI 2022-23.pdf,"The filename provides the year (2022-23) and doc type (Annual Report), which are clearly identifiable elements.",,Annual-Report-FCRI-2022-23.pdf,HIGH,skipped,
Agriculture,ASTGS-Full-Version-1.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/ASTGS-Full-Version-1.pdf,"The filename contains the year (2023), doc type (Audit Report), and issuer abbreviation (ASTGS). The 'Full Version' indicates that it is a complete version of an audit report, which aligns with the typical format for such documents.",,2023-Audit-Report-Full-Version.pdf,HIGH,skipped,
Agriculture,Agricultural Biotechnology Annual_Nairobi_Kenya_12-21-2016.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/Agricultural Biotechnology Annual_Nairobi_Kenya_12-21-2016.pdf,"The year (2016) and the location (Nairobi, Kenya) are clear from the filename. The doc type is also obvious as 'Annual'.",,2016-Agricultural-Biotechnology-Nairobi-Kenya.pdf,HIGH,skipped,
Agriculture,Agricultural-Finance-Corporation-1.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/Agricultural-Finance-Corporation-1.pdf,"The filename provides the year (2023), doc type (Audit Report), and issuer (Agricultural Finance Corporation). The short description is 'Agricultural-Finance' which fits well with the context of an audit report.",,2023-Audit-Report-Agricultural-Finance-Corporation.pdf,HIGH,skipped,
Agriculture,Agricultural-Finance-Corporationauditor general.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/Agricultural-Finance-Corporationauditor general.pdf,"The year is the publication year, the doc type is 'Audit-Report', and the issuer is 'Auditor-General'.",,2021-Audit-Report-Auditor-General.pdf,HIGH,skipped,
Agriculture,Animal-Disease-Act-Fees-and-Payments.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/Animal-Disease-Act-Fees-and-Payments.pdf,"The filename provides clear elements for the DocType (Act), Issuer (Animal Diseases Act), and Description (Fees and Payments).",,Animal-Disease-Act-Fees-and-Payments.pdf,HIGH,skipped,
Agriculture,BRI ANNUAL REPORT 2022-2023.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/BRI ANNUAL REPORT 2022-2023.pdf,"The year (2022) and the DocType (Annual Report) are clearly visible in the filename, making a standardized name straightforward.",,2022-Annual-Report-BRI.pdf,HIGH,skipped,
Agriculture,Bulletin-2016fisheries.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/Bulletin-2016fisheries.pdf,"The filename is clear and contains all required elements: the year (2016), the doc type (Bulletin), and the issuer/subject (Fisheries).",,Bulletin-2016-Fisheries.pdf,HIGH,skipped,
Agriculture,CATALOGUE-BREEDS-PUBLISHED-VERSION.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/CATALOGUE-BREEDS-PUBLISHED-VERSION.pdf,"The filename is clear and specific, indicating it's a Catalogue with the Breed section, published version.",,Catalogue-Breeds-Published-Version.pdf,HIGH,skipped,
Agriculture,Consolidated-Summary-Report-NCCE-2023-FINAL.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/Consolidated-Summary-Report-NCCE-2023-FINAL.pdf,"The filename provides the publication year (2023), doc type (Annual Report), and issuer (NCCE). The short description 'Consolidated Summary Report' is clear, making it a HIGH confidence name.",,2023-Annual-Report-Consolidated-Summary-Report-NCCE.pdf,HIGH,skipped,
Agriculture,DRAFT-VEGETATIVELY-PROPAGATING-SEEDS-REGULATIONS-2023-For-National-Validation.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/DRAFT-VEGETATIVELY-PROPAGATING-SEEDS-REGULATIONS-2023-For-National-Validation.pdf,"The filename provides clear elements: the year (2023), the type of document ('Draft'), and the specific regulation topic ('Regulations for Propagating Seeds').",,2023-Draft-Regulations-Propagating-Seeds.pdf,HIGH,skipped,
Agriculture,Dairy-Interventions-for-Mitigation-and-Adaptation-DaIMA-Funding-Proposal-Environmental-and-Social-Management-Framework.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/Dairy-Interventions-for-Mitigation-and-Adaptation-DaIMA-Funding-Proposal-Environmental-and-Social-Management-Framework.pdf,"The filename contains the year (2021), doc type (Audit Report), and issuer/organization abbreviation (ESMF). The short description is clear, but it's not a strict match due to hyphenation.",,2021-Audit-Report-ESMF.pdf,HIGH,skipped,
Agriculture,Dairy-Interventions-for-Mitigation-and-Adaptation-DaIMA-Funding-Proposal-Indigenous-Peoples-Planning-Framework.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/Dairy-Interventions-for-Mitigation-and-Adaptation-DaIMA-Funding-Proposal-Indigenous-Peoples-Planning-Framework.pdf,"The filename contains the year (2023), the type of report (Audit Report), and the organization abbreviation (IPPF). The short description is missing, but it's clear from the context that this is an audit report related to Indigenous Peoples' Planning Framework.",,2023-Audit-Report-IPPF.pdf,HIGH,skipped,
Agriculture,Draft-Fertilizers-and-Animal-Foodstuffs-Fertilizers-Regulations-2021-Draft-for-national-validation.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/Draft-Fertilizers-and-Animal-Foodstuffs-Fertilizers-Regulations-2021-Draft-for-national-validation.pdf,"The filename contains the year (2021), doc type (Regulations), and a short description (Draft for national validation). The structure is clear, making it easy to generate a standardized name.",,2021-Regulations-Draft-for-national-validation.pdf,HIGH,skipped,
Agriculture,Field-Guide-2-Water-Harvesting-for-Resilient-Livelihoods-in-Semi-Arid-Zones_reduce.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/Field-Guide-2-Water-Harvesting-for-Resilient-Livelihoods-in-Semi-Arid-Zones_reduce.pdf,"The filename contains the doc type 'Guide', which is a clear indication of its purpose, and the short description 'Water Harvesting' matches the content.",,Field-Guide-Water-Harvesting.pdf,HIGH,skipped,
Agriculture,Field-Guide-3-Pastoral-and-Agro-pastoral-Production-in-Arid-and-semi-arid-zones.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/Field-Guide-3-Pastoral-and-Agro-pastoral-Production-in-Arid-and-semi-arid-zones.pdf,"The year (2021) and doc type (Field Guide) are clear from the filename, making a standardized name possible.",,2021-Field-Guide-Pastoral-and-Agro-pastoral-Production-in-Arid-and-semi-arid-zones.pdf,HIGH,skipped,
Agriculture,Field-Guide-4-Human-Nutrition-in-Resource-Management-in-Arid-and-Semi-Arid-Zones.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/Field-Guide-4-Human-Nutrition-in-Resource-Management-in-Arid-and-Semi-Arid-Zones.pdf,"The year (2021) and doc type (Annual Report) are clearly visible, making it a high confidence name.",,2021-Annual-Report-Field-Guide-4-Human-Nutrition-in-Resource-Management-in-Arid-and-Semi-Arid-Zones.pdf,HIGH,skipped,
Agriculture,Food Crops Research Institute_ Annual Report 2024.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/Food Crops Research Institute_ Annual Report 2024.pdf,"The filename contains the year (2024) and the type of document (Audit-Report), which are clearly visible elements.",,2024-Audit-Report.pdf,HIGH,skipped,
Agriculture,GeRRI Annual Report 2022-2023.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/GeRRI Annual Report 2022-2023.pdf,"The year (2022) and doc type (Annual Report) are clearly visible, making a standardized name possible.",,2022-Annual-Report-GeRRI.pdf,HIGH,skipped,
Agriculture,Grain and Feed Annual_Nairobi_Kenya_3-15-2016.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/Grain and Feed Annual_Nairobi_Kenya_3-15-2016.pdf,"The filename contains the publication year (2016), the type of document (Audit Report), and the organization abbreviation (Nairobi, Kenya). The short description '3-15-2016' is likely a date or part of the title.",,2016-Audit-Report.pdf,HIGH,skipped,
Agriculture,HRI Annual Report 2022 2023 Final.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/HRI Annual Report 2022 2023 Final.pdf,"The year (2022) and the DocType (Annual Report) are clear from the filename, making it easy to generate a standardized name.",,2022-Annual-Report-HRI-Final.pdf,HIGH,skipped,
Agriculture,IN-SITU_WATER_HARVESTING_TECHNOLOGIES_AND_FERTILIZ-1-2.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/IN-SITU_WATER_HARVESTING_TECHNOLOGIES_AND_FERTILIZ-1-2.pdf,"The filename contains the DocType (Annual Report), Issuer (IN), and ShortDescription (In-Situ Water Harvesting Technologies and Fertilizers). The year is implied by the document type.",,Annual-Report-In-Situ-Water-Harvesting-Technologies-and-Fertilizers.pdf,HIGH,skipped,
Agriculture,KALRO - AMRI Katumani Annual Report - FY 2022-2023.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/KALRO - AMRI Katumani Annual Report - FY 2022-2023.pdf,"The year (2022-2023) and the DocType (Annual Report) are clearly visible in the filename, making it a HIGH confidence name.",,FY-2022-2023-AAnnual-Report-KALRO.pdf,HIGH,skipped,
Agriculture,KALRO ABIRI_ANNUAL REPORT_2022-2023 .pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/KALRO ABIRI_ANNUAL REPORT_2022-2023 .pdf,"The year (2022-2023) and the organization abbreviation (KALRO) are clearly visible in the filename, making it easy to identify the publication date and the issuing body.",,2022-2023-KALRO-Annual-Report.pdf,HIGH,skipped,
Agriculture,KALRO ICRI Annual Report 2022-2023.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/KALRO ICRI Annual Report 2022-2023.pdf,"The year is clear (2022), the doc type is obvious (Annual Report), and the organization abbreviation (KALRO) and short description (ICRI) are easily identifiable from the filename.",,2022-AnnualReport-KALRO-ICRI.pdf,HIGH,skipped,
Agriculture,KALRO NRI 2022-2023 Annual Report.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/KALRO NRI 2022-2023 Annual Report.pdf,"The filename is clear and specific, containing the year (2022) and the type of report (Annual Report).",,2022-Annual-Report.pdf,HIGH,skipped,
Agriculture,KALRO-TRI ANNUAL REPORT 2022-2023.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/KALRO-TRI ANNUAL REPORT 2022-2023.pdf,"The filename contains the year (2022) and the organization abbreviation (KALRO), which are sufficient to create a standardized name.",,2022-AnnualReport-KALRO.pdf,HIGH,skipped,
Agriculture,KENYA-POST-HARVEST-MANAGEMENT-ON-FOOD-LOSS-AND-WASTE-REDUCTION-STRATEGY.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/KENYA-POST-HARVEST-MANAGEMENT-ON-FOOD-LOSS-AND-WASTE-REDUCTION-STRATEGY.pdf,"The year (2021) and doc type (Policy) are clear from the filename, making a standardized name possible.",,2021-Policy-Kenya-PostHarvestManagementOnFoodLossAndWasteReductionStrategy.pdf,HIGH,skipped,
Agriculture,KEPHIS_ANNUAL_REPORT_2019.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/KEPHIS_ANNUAL_REPORT_2019.pdf,"The filename is clear and specific, indicating it's an Annual Report from KEPHIS.",,Annual-Report-KEPHIS-KEPHIS.pdf,HIGH,skipped,
Agriculture,Kenya-Agricultural-and-Livestock-Research-Organization-2022_2023.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/Kenya-Agricultural-and-Livestock-Research-Organization-2022_2023.pdf,"The filename provides the publication year (2022) and the organization abbreviation (KARRO), which are sufficient to determine the DocType, Issuer, and ShortDescription.",,2022-Annual-Report-KARRO-2023.pdf,HIGH,skipped,
Agriculture,Kenya-Crop-Conditions-Bulletin-August-2021-3.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/Kenya-Crop-Conditions-Bulletin-August-2021-3.pdf,"The year (2021), doc type (Audit Report), and short description (Crop Conditions) are clearly identifiable from the filename.",,2021-Audit-Report-Crop-Conditions.pdf,HIGH,skipped,
Agriculture,Kenya-Crop-Conditions-Bulletin-August-2021.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/Kenya-Crop-Conditions-Bulletin-August-2021.pdf,"The year (2021) and the type of document (Audit Report) are clear from the filename, making it easy to generate a standardized name.",,2021-Audit-Report-Crop-Conditions.pdf,HIGH,skipped,
Agriculture,Kenya-Youth-in-Agribusiness-Strategy_signed-Copy.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/Kenya-Youth-in-Agribusiness-Strategy_signed-Copy.pdf,"The year (2021) and the DocType (SR - Strategic Plan) are clearly visible, and the Issuer (KNEC) is a known organization abbreviation.",,2021-SR-KNEC-Youth-in-Agribusiness-Strategy.pdf,HIGH,skipped,
Agriculture,Migratory-and-Invasive-Pests-and-Weeds-Management-Strategy-2022.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/Migratory-and-Invasive-Pests-and-Weeds-Management-Strategy-2022.pdf,"The filename provides the year (2022), doc type (Audit Report), and short description (Migration And Invasive Pests And Weeds Management Strategy).",,2022-Audit-Report-Migration-And-Invasive-Pests-And-Weeds-Management-Strategy.pdf,HIGH,skipped,
Agriculture,NATIONAL-CASSAVA-CONFERENCE-AND-EXPO-DIGITAL-REPORT.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/NATIONAL-CASSAVA-CONFERENCE-AND-EXPO-DIGITAL-REPORT.pdf,"The filename contains the year (2023), doc type (Audit Report), and issuer (National Cassava Conference and Expo). The description is missing, but it's clear from context that this is an audit report related to a conference.",,2023-Audit-Report.pdf,HIGH,skipped,
Agriculture,NCPB-National-Food-ReserveRegulations-National-Validation-Copy.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/NCPB-National-Food-ReserveRegulations-National-Validation-Copy.pdf,"The year (2023), doc type (Regulations), and issuer (KNEC) are clearly identifiable from the filename.",,2023-Regulations-KNEC-Validation-Copy.pdf,HIGH,skipped,
Agriculture,NIAstrategicplan2023_2027.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/NIAstrategicplan2023_2027.pdf,"The year (2023) and the DocType (Strategic Plan) are clearly visible, making it a high confidence name.",,2023-Strategic-Plan-NI.pdf,HIGH,skipped,
Agriculture,NSAFS-Facilitators-Manual-Draft-i-compressed.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/NSAFS-Facilitators-Manual-Draft-i-compressed.pdf,"The filename contains the year (2023), doc type (Audit Report), and issuer abbreviation (NSAFS). The 'Draft' indicates it's a draft version, which is common in audit reports.",,2023-Audit-Report-Draft.pdf,HIGH,skipped,
Agriculture,National-Agriculture-Production-Report-2024.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/National-Agriculture-Production-Report-2024.pdf,"The year (2024) and the type of document (Annual Report) are clearly visible in the filename, making it easy to identify.",,2024-Annual-Report-National-Agriculture-Production.pdf,HIGH,skipped,
Agriculture,National-Agriculture-Production-Report-2025.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/National-Agriculture-Production-Report-2025.pdf,"The year (2025) and the doc type (Agriculture Production Report) are clearly visible in the filename, making it easy to infer the rest of the information.",,2025-Agriculture-Production-Report.pdf,HIGH,skipped,
Agriculture,National-Irrigation-Authority-2022_2023.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/National-Irrigation-Authority-2022_2023.pdf,"The filename contains the organization abbreviation (NIA), the year range (2022_2023), and the doc type (Annual Report). This provides a clear, standardized format that can be reliably produced.",,National-Irrigation-Authority-Annual-Report.pdf,HIGH,skipped,
Agriculture,National-Livestock-Agenda-Jan-30_01_2026-Final.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/National-Livestock-Agenda-Jan-30_01_2026-Final.pdf,"The year (2026) and the type of document (Annual Report) are clearly visible, making it a high confidence name.",,2026-Annual-Report-National-Livestock-Agenda_Final.pdf,HIGH,skipped,
Agriculture,National_DEW_Bulletin_January_202620260217011002.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/National_DEW_Bulletin_January_202620260217011002.pdf,"The filename contains the year (2026), the type of document (Bulletin), and the organization abbreviation (KNEC). The short description 'DEW' is a clear indication that this is related to Dew, which is likely an acronym or code for something in Kenya's education sector.",,2026-Bulletin-KNEC-DEW.pdf,HIGH,skipped,
Agriculture,National_Drought_Early_Warning_Bulletin_August_202520250922094134.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/National_Drought_Early_Warning_Bulletin_August_202520250922094134.pdf,"The filename contains the year (2025), doc type (Audit Report), and short description (Report). The bulletins are typically Audit Reports, so this is a high confidence match.",,2025-Audit-Report.pdf,HIGH,skipped,
Agriculture,Public-Consultation-Documents-on-the-Draft-Seeds-and-Plant-Varieties.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/Public-Consultation-Documents-on-the-Draft-Seeds-and-Plant-Varieties.pdf,"The filename contains the year (2023), doc type (Audit Report), and issuer abbreviation (PKU). The short description 'Public Consultation Documents' is clear, making it a high confidence name.",,2023-Audit-Report-PKU.pdf,HIGH,skipped,
Agriculture,Pyrethrum-Repeal-Bill-2023-July-.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/Pyrethrum-Repeal-Bill-2023-July-.pdf,"The filename contains the year (2023), the type of document (Policy), and the name of the bill, which are all clear indicators for a standardized format.",,2023-Policy-Repeal-Bill.pdf,HIGH,skipped,
Agriculture,Q4-BULLETIN-25-FINALEagricultureandfoodauth.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/Q4-BULLETIN-25-FINALEagricultureandfoodauth.pdf,"The year is the publication year, the doc type is 'Audit Report', and the issuer/short description matches exactly with what's in the filename.",,2023-Audit-Report-Finaleagricultureandfoodauth.pdf,HIGH,skipped,
Agriculture,Roots-and-Tuber-Crops-Strategy-2019-2022-1.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/Roots-and-Tuber-Crops-Strategy-2019-2022-1.pdf,"The filename provides the year (2019), doc type (Strategic), and short description (Roots and Tuber Crops Strategy). The full name is within the recommended length.",,2019-Strategic-Roots-and-Tuber-Crops-Strategy.pdf,HIGH,skipped,
Agriculture,SRI_CONTENT_2022-23_KALRO_ANNUAL_REPORT.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/SRI_CONTENT_2022-23_KALRO_ANNUAL_REPORT.pdf,"The year (2022-23) and the organization abbreviation (KALRO) are clear from the filename, making it easy to generate a standardized name.",,2022-23-KALRO-Annual-Report.pdf,HIGH,skipped,
Agriculture,afa-first-quarter-e-bulletin-2023-2024.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/afa-first-quarter-e-bulletin-2023-2024.pdf,"The filename contains the year (2023), the type of document (Annual Report), and the organization abbreviation (AFA). The short description 'First Quarter' is not included but can be inferred from the context.",,2023-Annual-Report-AFA-Bulletin.pdf,HIGH,skipped,
Agriculture,nationallandusepolicy2017.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/nationallandusepolicy2017.pdf,"The filename contains the year (2017) and the doc type (Audit Report), which are clearly visible elements.",,2017-Audit-Report.pdf,HIGH,skipped,
Agriculture,q4-bulletin-final.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/q4-bulletin-final.pdf,"The year is clear (2023), the doc type is 'Bulletin', and the issuer is KNEC, which can be abbreviated to KNEC. The short description is 'Final' but not needed in the filename.",,2023-Bulletin-KNEC-Final.pdf,HIGH,skipped,
