filename,doc_id,document_type,agent_access,doc_year,topics,soft_reasons
2023-Final-SRP-Monthly-Report.pdf,president_2023.final.srp.monthly.report,statistics_report,finance|president,2023,,topics is empty for document_type='statistics_report'
2024-25-Survey-GoK-Kenya-Census-of-Agriculture-Pilot.pdf,president_2024.25.survey.gok.kenya.census.of.agriculture.pilot,survey,finance|president,2025,,topics is empty for document_type='survey'
2024-Annual-Report-AFA-Second-Quarter-Bulletin.pdf,agriculture_2024.annual.report.afa.second.quarter.bulletin,annual_report,agriculture,2024,,topics is empty for document_type='annual_report'
2024-Annual-Report-KICTANet.pdf,ict_2024.annual.report.kictanet,annual_report,ict,2024,,topics is empty for document_type='annual_report'
2025-2026-Biannual-Statistics-Report.pdf,president_2025.2026.biannual.statistics.report,annual_report,president,2026,,topics is empty for document_type='annual_report'
2025-Audit-Report-KENYA-KE2025-0001.pdf,president_2025.audit.report.kenya.ke2025.0001,research_report,president,2025,,topics is empty for document_type='research_report'
2025-General-Regulations-KNHA.pdf,infrastructure_2025.general.regulations.knha,regulations,anticorruption|president,2025,,"issuing_agent='unknown' for legal doc_type='regulations' — expected 'president', 'finance', or an agency | topics is empty for document_type='regulations'"
2025-Report-Donor-Roundtable-Funding-Globally.pdf,president_2025.report.donor.roundtable.funding.globally,conference_report,president,2025,,topics is empty for document_type='conference_report'
2025-Research-Report-MoE-GPE-Results-Framework.pdf,education_2025.research.report.moe.gpe.results.framework,research_report,education,2025,,topics is empty for document_type='research_report'
2025-STRENGTHENING-OF-KANDWIA-–-KYUSO-RD-AND-UPGRADING-OF-KYUSO-–-TSEIKURU-B52-RD-PROJECT.pdf,infrastructure_2025.strengthening.of.kandwia.–.kyuso.rd.and.upgrading.of.kyuso.–.tseikuru.b52.rd.project,research_report,infrastructure,2025,,topics is empty for document_type='research_report'
2025-Upgrading-of-Nanyuki-Naibor-Doldol.pdf,infrastructure_2025.upgrading.of.nanyuki.naibor.doldol,research_report,infrastructure,2025,,topics is empty for document_type='research_report'
2026-Regulatory-Impact-Assessment-for-the-Kenya-Roads-Roadside-Stations-Regulations.pdf,infrastructure_2026.regulatory.impact.assessment.for.the.kenya.roads.roadside.stations.regulations,assessment,infrastructure|president,2026,,topics is empty for document_type='assessment'
ANNUAL-CORPORATE-REPORT-2023-2024.pdf,president_annual.corporate.report.2023.2024,annual_report,president,2024,,topics is empty for document_type='annual_report'
ANNUAL-NATIONAL-GOVERNMENT-BUDGET-OCT-2017.pdf,finance_annual.national.government.budget.oct.2017,annual_report,finance,2017,,topics is empty for document_type='annual_report'
Annual Report 2017-2018_0.pdf,president_annual.report.2017.2018_0,annual_report,president,2018,,topics is empty for document_type='annual_report'
Annual-Corporate-Report-2016-2017.pdf,president_annual.corporate.report.2016.2017,annual_report,president,2017,,topics is empty for document_type='annual_report'
Annual-Corporate-Report-2017-2018.pdf,president_annual.corporate.report.2017.2018,annual_report,president,2018,,topics is empty for document_type='annual_report'
Annual-Corporate-Report-2018-2019.pdf,president_annual.corporate.report.2018.2019,annual_report,president,2019,,topics is empty for document_type='annual_report'
Annual-Corporate-Report-2019-2020.pdf,president_annual.corporate.report.2019.2020,annual_report,president,2020,,topics is empty for document_type='annual_report'
Annual-Corporate-Report-2020-2021.pdf,president_annual.corporate.report.2020.2021,annual_report,president,2021,,topics is empty for document_type='annual_report'
Annual-Corporate-Report-2021-2022.pdf,president_annual.corporate.report.2021.2022,annual_report,president,2022,,topics is empty for document_type='annual_report'
Annual-Corporate-Report-2024-2025.pdf,president_annual.corporate.report.2024.2025,annual_report,president,2025,,topics is empty for document_type='annual_report'
Annual-Report-2016-2017.pdf,president_annual.report.2016.2017,annual_report,president,2017,,topics is empty for document_type='annual_report'
Annual-Report-2018-2019_0.pdf,president_annual.report.2018.2019_0,annual_report,president,2019,,topics is empty for document_type='annual_report'
Annual-Report-KEPHIS-KEPHIS.pdf,agriculture_annual.report.kephis.kephis,annual_report,agriculture,na,,topics is empty for document_type='annual_report'
Annual-Report-Kenya-Electricity-Advisory-Board.pdf,president_annual.report.kenya.electricity.advisory.board,annual_report,president,na,,topics is empty for document_type='annual_report'
Annual-Report-Revised-Edition-2016.pdf,president_annual.report.revised.edition.2016,annual_report,president,2016,,topics is empty for document_type='annual_report'
Bulletin-2016-Fisheries.pdf,president_bulletin.2016.fisheries,bulletin,president,2016,,topics is empty for document_type='bulletin'
CBA-Age-Based-Regular-Framework.pdf,president_cba.age.based.regular.framework,framework,president,na,,topics is empty for document_type='framework'
Catalogue-Breeds-Published-Version.pdf,agriculture_catalogue.breeds.published.version,catalogue,agriculture,na,,topics is empty for document_type='catalogue'
FY-2018-2019-Audited-Annual-Report.pdf,president_fy.2018.2019.audited.annual.report,annual_report,president,2019,,topics is empty for document_type='annual_report'
FY-2019_2020-Audited-Annual-Report.pdf,president_fy.2019_2020.audited.annual.report,annual_report,president,2020,,topics is empty for document_type='annual_report'
FY-2023-2024-Annual-Report.pdf,president_fy.2023.2024.annual.report,annual_report,president,2024,,topics is empty for document_type='annual_report'
FY-2024-25-Report.pdf,president_fy.2024.25.report,annual_report,president,2025,,topics is empty for document_type='annual_report'
Jan-Mar2023-KICTANet-Spotlight-Report.pdf,ict_jan.mar2023.kictanet.spotlight.report,bulletin,ict,2023,,topics is empty for document_type='bulletin'
Q2_2025_Spotlight_Report.pdf,president_q2_2025_spotlight_report,bulletin,president,2025,,topics is empty for document_type='bulletin'
September-book-2022.pdf,president_september.book.2022,magazine,president,2022,,topics is empty for document_type='magazine'
